country,IATA,ICAO,city,name,latitude,longitude,timezone,city_en,name_en
RU,NNM,ULAM,Naryan-Mar,Naryan Mar,67.639999,53.121898,Europe/Moscow,,
RU,NOJ,USRO,Noyabrsk,Noyabrsk,63.1833,75.269996,Asia/Yekaterinburg,,
RU,NOZ,UNWW,Novokuznetsk,Spichenkovo,53.811401,86.877197,Asia/Krasnoyarsk,,
RU,NSK,UOOO,Norilsk,Norilsk-Alykel,69.311096,87.332199,Asia/Krasnoyarsk,,
RU,NUX,USMU,Novy Urengoy,Novy Urengoy,66.069396,76.520301,Asia/Yekaterinburg,,
RU,NYA,USHN,Nyagan,Nyagan,62.110001,65.614998,Asia/Yekaterinburg,,
RU,NYM,USMM,Nadym,Nadym,65.480903,72.698898,Asia/Yekaterinburg,,
RU,ODO,UIKB,Bodaibo,Bodaybo,57.8661,114.242996,Asia/Irkutsk,,
RU,OGZ,URMO,Beslan,Beslan,43.205101,44.606601,Europe/Moscow,,
RU,OHO,UHOO,Okhotsk,Okhotsk,59.410064,143.056503,Asia/Vladivostok,,
RU,OLZ,UEMO,Olekminsk,Olyokminsk,60.397499,120.471001,Asia/Yakutsk,,
RU,OMS,UNOO,Omsk,Omsk Central,54.966999,73.310501,Asia/Omsk,,
RU,ONK,UERO,Olenyok,Olenyok,68.514999,112.480003,Asia/Yakutsk,,
RU,OSF,UUMO,莫斯科,Ostafyevo,55.511667,37.507222,Europe/Moscow,,
RU,OSW,UWOR,Orsk,Orsk,51.072498,58.5956,Asia/Yekaterinburg,,
RU,OVB,UNNT,新西伯利亚,Tolmachevo,55.012619,82.65065,Asia/Krasnoyarsk,Novosibirsk,Novosibirsk Tolmachevo
RU,OVS,USHS,Sovetskiy,Sovetskiy,61.326622,63.601913,Asia/Yekaterinburg,,
RU,PEE,USPP,Perm,Bolshoye Savino,57.914509,56.02121,Asia/Yekaterinburg,Perm,Perm Bolshoye Savino
RU,PES,ULPB,Petrozavodsk,Petrozavodsk,61.8852,34.154701,Europe/Moscow,,
RU,PEX,UUYP,Pechora,Pechora,65.121101,57.130798,Europe/Moscow,,
RU,PEZ,UWPP,Penza,Penza,53.110599,45.021099,Europe/Moscow,,
RU,PKC,UHPP,Petropavlovsk,Yelizovo,53.1679,158.453994,Asia/Anadyr,,
RU,PKV,ULOO,Pskov,Pskov,57.783901,28.395599,Europe/Moscow,,
RU,PVS,UHMD,Provideniya Bay,Provideniya Bay,64.378097,-173.242996,Asia/Anadyr,,
RU,PYJ,UERP,Yakutia,Polyarny,66.400398,112.029998,Asia/Yakutsk,,
RU,RAT,USNR,Raduzhnyi,Raduzhny,62.158599,77.328903,Asia/Yekaterinburg,,
RU,REN,UWOO,Orenburg,Orenburg Central,51.795799,55.456699,Asia/Yekaterinburg,,
RU,RGK,UNBG,Gorno-Altaysk,Gorno-Altaysk,51.966701,85.833297,Asia/Krasnoyarsk,,
RU,ROV,URRP,Rostov,Platov,47.493889,39.924721,Europe/Moscow,Rostov-on-Don,Rostov-on-Don Platov
RU,RTW,UWSS,Saratov,Saratov Central,51.564998,46.046699,Europe/Moscow,,
RU,RYB,UUBK,Rybinsk,Staroselye,58.104198,38.929401,Europe/Moscow,,
RU,SCW,UUYY,Syktyvkar,Syktyvkar,61.646999,50.8451,Europe/Moscow,,
RU,SEK,UESK,Srednekolymsk,Srednekolymsk,67.4805,153.7364,Asia/Srednekolymsk,,
RU,SGC,USRR,Surgut,Surgut,61.3437,73.401802,Asia/Yekaterinburg,,
RU,SKX,UWPS,Saransk,Saransk,54.125129,45.212257,Europe/Moscow,,
RU,SLY,USDD,Salekhard,Salekhard,66.590797,66.611,Asia/Yekaterinburg,,
RU,STW,URMT,Stavropol,Stavropol Shpakovskoye,45.109199,42.1128,Europe/Moscow,,
RU,SUY,UENS,Suntar,Suntar,62.185001,117.635002,Asia/Yakutsk,,
