country,ICAO,IATA,city_en,name_en,latitude,longitude,timezone,city,name
US,KSTL,STL,St. Louis,St. Louis Lambert,38.748692,-90.370003,America/Chicago,St. Louis,St Louis Lambert
US,KSTP,STP,,,44.934501,-93.059997,America/Chicago,St. Paul,St Paul Downtown Holman Field
US,KSTS,STS,Santa Rosa,Santa Rosa Sonoma County,38.508888,-122.811668,America/Los_Angeles,Santa Rosa,Charles M. Schulz Sonoma County
US,KSUA,SUA,Stuart,Stuart Witham Field,27.182892,-80.22168,America/New_York,Stuart,Witham Field
US,KSUN,SUN,Hailey,Hailey Friedman Memorial,43.5,-114.290001,America/Denver,Hailey,Friedman Memorial
US,KSUS,SUS,,,38.662101,-90.652,America/Chicago,Null,Spirit of St Louis
US,KSUU,SUU,,,38.262699,-121.927001,America/Los_Angeles,Fairfield,Travis Air Force Base
US,KSUX,SUX,Sioux City,Sioux Gateway,42.402599,-96.3843,America/Chicago,Sioux City,Sioux Gateway Col. Bud Day Field
US,KSVC,SVC,Silver City,Silver City Grant County,32.631943,-108.153893,,Silver City,Silver City Grant County
US,KSVH,SVH,,,35.7653,-80.953903,America/New_York,Statesville,Statesville Regional
US,KSVN,SVN,,,32.009998,-81.145698,America/New_York,Hunter Aaf,Hunter Army Air Field
US,KSWF,SWF,New York,New York Stewart,41.504108,-74.104797,America/New_York,Newburgh,Stewart
US,KSWO,SWO,Stillwater,Stillwater Regional,36.15889,-97.085556,America/Chicago,Stillwater,Stillwater Regional
US,KSYR,SYR,Syracuse,Syracuse Hancock,43.111179,-76.1063,America/New_York,Syracuse,Syracuse Hancock
US,KSZL,SZL,,,38.7303,-93.547897,America/Chicago,Knobnoster,Whiteman Air Force Base
US,KTBN,TBN,,,37.7416,-92.140701,America/Chicago,Fort Leonardwood,Waynesville-St. Robert Regional Forney field
US,KTCC,TCC,,,35.1828,-103.602996,America/Denver,Tucumcari,Tucumcari Municipal
US,KTCL,TCL,,,33.2206,-87.611396,America/Chicago,Tuscaloosa AL,Tuscaloosa Regional
US,KTCM,TCM,,,47.137699,-122.475997,America/Los_Angeles,Tacoma,McChord Air Force Base
US,KTCS,TCS,,,33.2369,-107.272003,America/Denver,Truth Or Consequences,Truth Or Consequences Municipal
US,KTEB,TEB,Teterboro,Teterboro,40.850101,-74.060799,America/New_York,Teterboro,Teterboro
US,KTEX,TEX,Telluride,Telluride Regional,37.953888,-107.908607,America/Denver,Telluride,Telluride Regional
US,KTIK,TIK,,,35.414699,-97.386596,America/Chicago,Oklahoma City,Tinker Air Force Base
US,KTIW,TIW,,,47.267898,-122.578002,America/Los_Angeles,Tacoma,Tacoma Narrows
US,KTIX,TIX,,,28.514799,-80.799201,America/New_York,Titusville,Space Coast Regional
US,KTLH,TLH,Tallahassee,Tallahassee,30.396521,-84.350304,America/New_York,Tallahassee,Tallahassee Regional
US,KTMA,TMA,,,31.429,-83.488502,America/New_York,Tifton,Henry Tift Myers
US,KTMB,TMB,Miami,Miami Executive,25.64788,-80.432701,America/New_York,Kendall-tamiami,Kendall-Tamiami Executive
US,KTMK,OTK,,,45.418201,-123.814002,America/Los_Angeles,Tillamook,Tillamook
US,KTNT,TNT,,,25.861799,-80.897003,America/New_York,迈阿密,Dade Collier Training and Transition
US,KTNX,XSD,Tonopah,Tonopah Test Range,37.798801,-116.780998,America/Los_Angeles,Tonopah,Tonopah Test Range
US,KTOA,TOA,,,33.803398,-118.339996,America/Los_Angeles,Torrance,Zamperini Field
US,KTOC,TOC,Toccoa,Toccoa,34.583332,-83.316666,America/New_York,Toccoa,Toccoa  - R.G. Letourneau Field
US,KTOL,TOL,Toledo,Toledo Express,41.580002,-83.800003,America/New_York,Toledo,Toledo Express
US,KTOP,TOP,,,39.068698,-95.622497,America/Chicago,Topeka,Philip Billard Municipal
US,KTPA,TPA,Tampa,Tampa,27.97547,-82.533203,America/New_York,Tampa,Tampa
US,KTPL,TPL,,,31.1525,-97.407798,America/Chicago,Temple,Draughon Miller Central Texas Regional
US,KTRI,TRI,Blountville,Blountville Tri-Cities Regional,36.47522,-82.407402,America/New_York,BRISTOL,Tri-Cities Regional TN/VA
US,KTRK,TKF,Truckee,Truckee Tahoe,39.31789,-120.140503,America/Los_Angeles,Truckee,Truckee Tahoe
US,KTRM,TRM,Thermal,Thermal Jacqueline Cochran Regional,33.626884,-116.155937,America/Los_Angeles,Palm Springs,Jacqueline Cochran Regional
US,KTTD,TTD,,,45.5494,-122.401,America/Los_Angeles,Troutdale,Portland Troutdale
US,KTTN,TTN,Trenton,Trenton Mercer,40.276691,-74.8134,America/New_York,Trenton,Trenton Mercer
US,KTUL,TUL,Tulsa,Tulsa,36.19838,-95.8881,America/Chicago,Tulsa,Tulsa
US,KTUP,TUP,Tupelo,Tupelo Regional,34.258888,-88.76722,America/Chicago,Tupelo,Tupelo Regional
US,KTUS,TUS,Tucson,Tucson,32.116081,-110.941002,America/Phoenix,Tucson,Tucson
US,KTVC,TVC,Traverse City,Traverse City Cherry Capital,44.74139,-85.582222,America/New_York,Traverse City,Cherry Capital
US,KTVF,TVF,Thief River Falls,Thief River Falls Regional,48.066113,-96.184998,America/Chicago,Thief River Falls,Thief River Falls Regional
US,KTVI,TVI,,,30.901599,-83.881301,America/New_York,Thomasville,Thomasville Regional
US,KTVL,TVL,,,38.893901,-119.995002,America/Los_Angeles,South Lake Tahoe,Lake Tahoe
US,KTWF,TWF,,,42.4818,-114.487999,America/Denver,Twin Falls,Joslin Field Magic Valley Regional
US,KTXK,TXK,Texarkana,Texarkana Regional,33.45372,-93.990997,America/Chicago,Texarkana,Texarkana Regional Webb Field
US,KTYR,TYR,Tyler,Tyler Pounds Regional,32.35413,-95.402298,America/Chicago,Tyler,Tyler Pounds Regional
US,KTYS,TYS,Knoxville,Knoxville McGhee Tyson,35.81097,-83.994003,America/New_York,Knoxville,McGhee Tyson
US,KUDD,UDD,,,33.748401,-116.275001,America/Los_Angeles,Palm Springs,Bermuda Dunes
US,KUGN,UGN,,,42.422199,-87.867897,America/Chicago,芝加哥,Waukegan National
US,KUIN,UIN,Quincy,Quincy Municipal,39.944168,-91.19722,America/Chicago,Quincy,Quincy Regional Baldwin Field
US,KUKF,IKB,,,36.222801,-81.098297,America/New_York,North Wilkesboro,Wilkes County
US,KUNI,ATO,,,39.210998,-82.231399,America/New_York,Athens,Ohio University Snyder Field
US,KUNV,SCE,State College,State College University Park,40.84927,-77.848602,America/New_York,State College Pennsylvania,University Park
US,KUOS,UOS,,,35.205101,-85.898101,America/Chicago,Sewanee,Franklin County
US,KUTA,UTM,,,34.680999,-90.346702,America/Chicago,Tunica,Tunica Municipal
US,KUVA,UVA,,,29.211299,-99.743598,America/Chicago,Uvalde,Garner Field
US,KUZA,RKH,,,34.9878,-81.057197,America/New_York,Rock Hill,Rock Hill - York County
US,KVAD,VAD,,,30.9678,-83.193,America/New_York,Valdosta,Moody Air Force Base
US,KVAY,LLY,,,39.942901,-74.845703,America/New_York,Mount Holly,South Jersey Regional
US,KVBG,VBG,,,34.7373,-120.583999,America/Los_Angeles,Lompoc,Vandenberg Air Force Base
US,KVCT,VCT,Victoria,Victoria Regional,28.85111,-96.914444,America/Chicago,Victoria,Victoria Regional
US,KVCV,VCV,,,34.597499,-117.383003,America/Los_Angeles,Victorville,Southern California Logistics
US,KVDF,VDF,Tampa,Tampa Executive,28.010859,-82.342102,,Tampa,Tampa Executive
US,KVEL,VEL,Vernal,Vernal,40.438889,-109.510277,America/Denver,Vernal,Vernal Regional
US,KVGT,VGT,,,36.2107,-115.194,America/Los_Angeles,拉斯维加斯,North Las Vegas
US,KVIS,VIS,,,36.318698,-119.392997,America/Los_Angeles,Visalia,Visalia Municipal
US,KVLD,VLD,Valdosta,Valdosta Regional,30.780001,-83.269997,America/New_York,Valdosta,Valdosta Regional
US,KVNC,VNC,,,27.071599,-82.440299,America/New_York,Venice,Venice Municipal
US,KVNY,VNY,Van Nuys,Van Nuys,34.200001,-118.480003,America/Los_Angeles,Van Nuys,Van Nuys
US,KVOK,VOK,,,43.938999,-90.253402,America/Chicago,Camp Douglas,Volk Field
US,KVPS,VPS,Destin Fort Walton Beach,Destin Fort Walton Beach,30.48333,-86.525299,America/Chicago,Valparaiso,Destin-Ft Walton Beach
US,KVQQ,VQQ,,,30.2187,-81.876701,America/New_York,Jacksonville,Cecil
US,KVRB,VRB,Vero Beach,Vero Beach Municipal,27.65555,-80.4179,America/New_York,Vero Beach,Vero Beach Regional
US,KVYS,VYS,,,41.351898,-89.153099,America/Chicago,Peru,Illinois Valley Regional -Walter A Duncan Field
US,KWAL,WAL,,,37.9402,-75.4664,America/New_York,Wallops Island,Wallops Flight Facility
