country,ICAO,IATA,city,city_en,name,name_en,latitude,longitude,timezone
CN,ZSLG,LYG,连云港,Lianyungang,连云港白塔埠机场,Lianyungang Baitabu,34.571659,118.873596,Asia/Shanghai
CN,ZSLO,LCX,龙岩,Longyan,龙岩冠豸山机场,Longyan Guanzhishan,25.6747,116.747002,Asia/Shanghai
CN,ZSLQ,HYN,台州,Huangyan,台州路桥机场,Huangyan Luqiao,28.56222,121.428596,Asia/Shanghai
CN,ZSLY,LYI,临沂,Linyi,临沂启阳国际机场,Linyi Shubuling,35.046112,118.411667,Asia/Shanghai
CN,ZSNB,NGB,宁波,Ningbo,宁波栎社国际机场,Ningbo Lishe,29.826679,121.461899,Asia/Shanghai
CN,ZSNJ,NKG,南京,Nanjing,南京禄口国际机场,Nanjing Lukou,31.742041,118.862,Asia/Shanghai
CN,ZSNT,NTG,南通,Nantong,南通兴东国际机场,Nantong Xingdong,32.072922,120.975601,Asia/Shanghai
CN,ZSOF,HFE,合肥,Hefei,合肥新桥国际机场,Xinqiao,31.986345,116.970474,Asia/Shanghai
CN,ZSPD,PVG,上海,Shanghai,上海浦东国际机场,Shanghai Pudong,31.14337,121.805199,Asia/Shanghai
CN,ZSQD,TAO,青岛,Qingdao,青岛流亭国际机场,Qingdao Liuting,36.266102,120.374397,Asia/Shanghai
CN,ZSQZ,JJN,泉州,Jinjiang,泉州晋江国际机场,Quanzhou Jinjiang,24.802809,118.587296,Asia/Shanghai
CN,ZSRZ,RIZ,日照,Rizhao,日照山字河机场,Rizhao Shanzihe,35.399723,119.316666,Asia/Shanghai
CN,ZSSH,HIA,淮安,Huai'an,淮安涟水国际机场,Huai'an Lianshui,33.777222,119.147781,Asia/Shanghai
CN,ZSSM,SQJ,三明,Sanming,三明沙县机场,Sanming Shaxian,26.428211,117.836914,Asia/Shanghai
CN,ZSSR,SQD,上饶,Shangrao,上饶三清山机场,Sanqingshan,28.39212,117.961327,Asia/Shanghai
CN,ZSSS,SHA,上海,Shanghai,上海虹桥国际机场,Shanghai Hongqiao,31.19787,121.336304,Asia/Shanghai
CN,ZSTX,TXN,黄山,Huangshan,黄山屯溪国际机场,Huangshan Tunxi,29.73333,118.255798,Asia/Shanghai
CN,ZSWF,WEF,潍坊,Weifang,潍坊南苑机场,Weifang,36.646702,119.119003,Asia/Shanghai
CN,ZSWH,WEH,威海,Weihai,威海大水泊国际机场,Weihai Dashuibo,37.188141,122.236069,Asia/Shanghai
CN,ZSWX,WUX,无锡,Wuxi,苏南硕放国际机场,Wuxi Sunan Shuofang,31.492889,120.424377,Asia/Shanghai
CN,ZSWY,WUS,武夷山,Wuyishan,武夷山机场,Wuyishan,27.716667,117.966667,Asia/Shanghai
CN,ZSWZ,WNZ,温州,Wenzhou,温州龙湾国际机场,Wenzhou Longwan,27.91222,120.851898,Asia/Shanghai
